Name,观影人数,Priority,种类,Seriousness,状态,Brief Desc,Out,完成日期,评级,短评
机核 Better Call Saul Podcast,自己,❗️❗️❗️,播客,,Completed,,Yes,,,
摩登家庭,自己,❗️❗️,电视剧,,Completed,,Yes,,3 及格,没看完，到后面就没那么有意思了
坂本龙一：杰作,和他人,❗️❗️❗️,纪录,Serious,Canceled,2024/05/31 院线,No,,,
恨之切爱之深,,❗️❗️❗️,漫画,,Canceled,,No,,,
庵野秀明之前的作品,,❗️❗️,电影,,Canceled,,No,,,
PsychoPass 新剧场版 Providence,,❗️,动画,,Canceled,,No,,,
古立特宇宙,,❗️❗️❗️,电影,Fun,Canceled,,Yes,"April 16, 2024",2 难以下咽,初中生开奥特曼打高达，打扰了！
四畳半神话大系,自己,❗️,动画,Mild,Canceled,,Yes,"April 14, 2024",3 及格,画风看不下去，讲的台词也很无聊
机动战士高达0080 口袋里的战争,自己,❗️,动画,Mild,Canceled,,Yes,"April 14, 2024",3 及格,画质人设看不下去，但听说视角挺好，属于高达经典
怪诞小镇Gravity Falls,自己,❗️,动画,Fun,Canceled,,Yes,"April 14, 2024",3 及格,无聊
飞跃巅峰,自己,❗️,动画,Fun,Canceled,,Yes,"April 7, 2024",3 及格,画质感人
pop子和pipi美的日常 第二季,,❗️,动画,,Canceled,,Yes,"October 9, 2022",2 难以下咽,超级独特，但是需要太多知识储备了
哥斯拉-1.0,和他人,❗️❗️,电影,Mild,Canceled,,Yes,,,
The Dark Knight,和他人,❗️,电影,Serious,Canceled,,Yes,,,
"Three Billboards Outside Ebbing, Missouri",和他人,❗️,电影,Serious,Canceled,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Yes,,,
Blame！,和他人,❗️,电影,Mild,Canceled,,Yes,,,
了不起的狐狸爸爸,和他人,❗️,电影,Mild,Canceled,,Yes,,,
Eternal Sunshine of the Spotless Mind,和他人,❗️,电影,Mild,Canceled,,Yes,,,
哈利波特,和他人,❗️,电影,Mild,Canceled,,Yes,,,
Jagten （the hunt）,和他人,❗️,电影,Mild,Canceled,,Yes,,,
intouchables,和他人,❗️,电影,Mild,Canceled,,Yes,,,
the curious case of benjamin button,和他人,❗️,电影,Mild,Canceled,,Yes,,,
城市猎人,自己,❗️❗️❗️,动画,Fun,Canceled,,Yes,,,
Succession,自己,❗️❗️❗️,电视剧,Mild,Canceled,,Yes,,,
白宫风云,自己,❗️❗️❗️,电视剧,Mild,Canceled,,Yes,,,
冥王PLUTO,自己,❗️❗️❗️,漫画,Mild,Canceled,,Yes,,,
Solanin（乐与路）,自己,❗️❗️❗️,漫画,Mild,Canceled,,Yes,,,
usogi噬谎者,自己,❗️❗️❗️,漫画,Fun,Canceled,https://www.manhuagui.com/comic/4847/,Yes,,,
理解漫画,自己,❗️❗️❗️,漫画,Fun,Canceled,,Yes,,5 值得再看一遍,深入浅出，哲学+趣味性十足。全方位理解漫画
up,自己,❗️❗️,动画,Fun,Canceled,,Yes,,,
Don’s Plum,自己,❗️❗️,电影,Serious,Canceled,A group of Los Angeles teenagers meet every week at their local diner to discuss their latest misadventures in their miserable lives.,Yes,,,decaprio
Anchorman,自己,❗️❗️,电影,Fun,Canceled,,Yes,,,
银河护卫队3,自己,❗️❗️,电影,Fun,Canceled,,Yes,,,
灌篮高手,自己,❗️❗️,电影,Fun,Canceled,,Yes,,,
合金男爵,自己,❗️❗️,漫画,Mild,Canceled,,Yes,,,
全都因为爱all my darling daughters,自己,❗️❗️,漫画,Fun,Canceled,,Yes,,,
Ultra Heaven,自己,❗️❗️,漫画,Fun,Canceled,,Yes,,,
哥普拉,自己,❗️❗️,漫画,Fun,Canceled,,Yes,,,
废渊战鬼,自己,❗️❗️,漫画,Fun,Canceled,,Yes,,,
猫眼三姐妹,自己,❗️❗️,漫画,Fun,Canceled,,Yes,,,
游戏的人,自己,❗️❗️,书,Serious,Canceled,,Yes,,,
Scott Pilgrim,自己,❗️,动画,Fun,Canceled,,Yes,,,
GANTZ: O,自己,❗️,动画,Fun,Canceled,,Yes,,,
高达W,自己,❗️,动画,Fun,Canceled,,Yes,,3 及格,
Ray,自己,❗️,电影,Mild,Canceled,,Yes,,,
John Wick1-4,自己,❗️,电影,Fun,Canceled,,Yes,,,
The Patient,自己,❗️,电视剧,Fun,Canceled,,Yes,,,
攻壳机动队,自己,❗️,漫画,Serious,Canceled,,Yes,,,
